Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
,611,586,586,,,1833
,598.3333333,587,587,,,1795
,589.3333333,588,588,,,1768
,590.3333333,589,589,,,1771
,553,590,590,,,1659
,538,591,591,,,1614
,532.6666667,592,592,,,1598
,515.6666667,593,593,,,1547
,476.3333333,594,594,,,1429
,458,595,595,,,1374
,429,596,596,,,1287
,398,597,597,,,1194
,362,598,598,,,1086
,332.6666667,599,599,,,998
,302.3333333,600,600,,,907
,259.6666667,601,601,,,779
,255.6666667,602,602,,,767
,222,603,603,,,666
,211.3333333,604,604,,,634
,187.3333333,605,605,,,562
,169.6666667,606,606,,,509
,130.3333333,607,607,,,391
,114,608,608,,,342
,112.3333333,609,609,,,337
,87,610,610,,,261
,85.33333333,611,611,,,256
,70.33333333,612,612,,,211
,56.66666667,613,613,,,170
,47,614,614,,,141
,34.66666667,615,615,,,104
,30,616,616,,,90
,24.66666667,617,617,,,74
,21.33333333,618,618,,,64
,20.33333333,619,619,,,61
,11.66666667,620,620,,,35
,14.66666667,621,621,,,44
,9,622,622,,,27
,7.666666667,623,623,,,23
,6.333333333,624,624,,,19
,6.666666667,625,625,,,20
,4,626,626,,,12
,4,627,627,,,12
,3.333333333,628,628,,,10
,2.666666667,629,629,,,8
,1,630,630,,,3
,3,631,631,,,9
,2,632,632,,,6
,0.333333333,633,633,,,1
,1,634,634,,,3
,0.333333333,635,635,,,1
,1.666666667,636,636,,,5
,0.666666667,637,637,,,2
,1,638,638,,,3
,1.666666667,639,639,,,5
,1.333333333,640,640,,,4
,1,641,641,,,3
,1.666666667,642,642,,,5
,0.333333333,643,643,,,1
,2,644,644,,,6
,1.666666667,645,645,,,5
,0.666666667,646,646,,,2
,0.333333333,647,647,,,1
,0.666666667,648,648,,,2
,1,649,649,,,3
,1,650,650,,,3
,0.333333333,651,651,,,1
,1,652,652,,,3
,1,653,653,,,3
,1.333333333,654,654,,,4
,1.333333333,655,655,,,4
,0.666666667,656,656,,,2
,1.666666667,657,657,,,5
,0.666666667,658,658,,,2
,1,659,659,,,3
,0.666666667,660,660,,,2
,1.333333333,661,661,,,4
,0.666666667,662,662,,,2
,0.666666667,663,663,,,2
,1.333333333,664,664,,,4
,1,665,665,,,3
,0.666666667,666,666,,,2
,1.333333333,667,667,,,4
,0.666666667,668,668,,,2
,1.333333333,669,669,,,4
,1.333333333,670,670,,,4
,1.333333333,671,671,,,4
,0.333333333,672,672,,,1
,0.666666667,673,673,,,2
,1.333333333,674,674,,,4
,0,675,675,,,0
,0.666666667,676,676,,,2
,1.666666667,677,677,,,5
,0.666666667,678,678,,,2
,1.333333333,679,679,,,4
,1.666666667,680,680,,,5
,1,681,681,,,3
,1,682,682,,,3
,0.666666667,683,683,,,2
,1,684,684,,,3
,0.333333333,685,685,,,1
,1.333333333,686,686,,,4
