Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
505.999,0.916666667,506,506,698.8255208,12.01800778,11
507,0.75,507,507,699.6015625,13.32278465,9
508,0.583333333,508,508,699.2135417,9.015443455,7
509,0.5,509,509,699.2135417,12.20363202,6
510.001,0.333333333,510,510,699.2135417,7.009674753,4
511,0.583333333,511,511,699.6015625,7.765664204,7
512,0.25,512,512,698.4375,4.439908338,3
513.001,0.583333333,513,513,699.6015625,7.995982818,7
514.001,1.083333333,514,514,699.6015625,8.017074766,13
515,0.333333333,515,515,699.6015625,7.770640876,4
516,0.583333333,516,516,699.6015625,7.99085766,7
517,0.75,517,517,699.6015625,13.01211428,9
518.001,0.666666667,518,518,699.6015625,12.20296459,8
519,0.416666667,519,519,699.2135417,10.01646406,5
520.001,1.083333333,520,520,699.2135417,9.990960401,13
521,0.75,521,521,699.2135417,6.665843065,9
522,0.416666667,522,522,698.4375,3.331578702,5
523,0.666666667,523,523,699.2135417,14.01377133,8
524.001,0.5,524,524,699.6015625,7.014673294,6
